  5%|▌         | 81/1500 [1:11:03<20:36:28, 52.28s/it]
  5%|▌         | 82/1500 [1:11:58<20:54:53, 53.10s/it]
  6%|▌         | 83/1500 [1:12:49<20:33:42, 52.24s/it]
  6%|▌         | 84/1500 [1:13:40<20:26:09, 51.96s/it]
  6%|▌         | 85/1500 [1:14:32<20:28:44, 52.10s/it]
  6%|▌         | 86/1500 [1:15:22<20:11:09, 51.39s/it]
  6%|▌         | 87/1500 [1:16:13<20:10:37, 51.41s/it]
  6%|▌         | 88/1500 [1:17:04<20:06:25, 51.26s/it]
  6%|▌         | 89/1500 [1:17:58<20:19:09, 51.84s/it]
  6%|▌         | 90/1500 [1:18:55<21:00:57, 53.66s/it]
                                                      

  6%|▌         | 90/1500 [1:18:55<21:00:57, 53.66s/it]
  6%|▌         | 91/1500 [1:19:45<20:30:21, 52.39s/it]
  6%|▌         | 92/1500 [1:20:36<20:20:42, 52.02s/it]
  6%|▌         | 93/1500 [1:21:33<20:51:40, 53.38s/it]
  6%|▋         | 94/1500 [1:22:27<20:59:23, 53.74s/it]
  6%|▋         | 95/1500 [1:23:17<20:32:30, 52.63s/it]
  6%|▋         | 96/1500 [1:24:05<19:57:26, 51.17s/it]
  6%|▋         | 97/1500 [1:24:56<19:57:28, 51.21s/it]
  7%|▋         | 98/1500 [1:25:50<20:11:28, 51.85s/it]
  7%|▋         | 99/1500 [1:26:42<20:14:23, 52.01s/it]
  7%|▋         | 100/1500 [1:27:34<20:10:35, 51.88s/it]
                                                       

  7%|▋         | 100/1500 [1:27:34<20:10:35, 51.88s/it]
  7%|▋         | 101/1500 [1:28:30<20:41:41, 53.25s/it]
  7%|▋         | 102/1500 [1:29:24<20:48:47, 53.60s/it]
  7%|▋         | 103/1500 [1:30:17<20:42:42, 53.37s/it]
  7%|▋         | 104/1500 [1:31:10<20:34:59, 53.08s/it]
  7%|▋         | 105/1500 [1:32:02<20:27:17, 52.79s/it]
  7%|▋         | 106/1500 [1:32:52<20:07:58, 51.99s/it]
  7%|▋         | 107/1500 [1:33:46<20:21:55, 52.63s/it]
  7%|▋         | 108/1500 [1:34:43<20:50:34, 53.90s/it]
  7%|▋         | 109/1500 [1:35:35<20:36:18, 53.33s/it]
  7%|▋         | 110/1500 [1:36:26<20:22:35, 52.77s/it]
                                                       

  7%|▋         | 110/1500 [1:36:26<20:22:35, 52.77s/it]
  7%|▋         | 111/1500 [1:37:21<20:34:11, 53.31s/it]
  7%|▋         | 112/1500 [1:38:18<21:00:14, 54.48s/it]
  8%|▊         | 113/1500 [1:39:15<21:12:52, 55.06s/it]
  8%|▊         | 114/1500 [1:40:04<20:30:11, 53.26s/it]
