{'loss': 0.0906, 'grad_norm': 0.33896350860595703, 'learning_rate': 1.897157640296825e-05, 'epoch': 5.63}
{'loss': 0.0851, 'grad_norm': 0.42230919003486633, 'learning_rate': 1.772520797528988e-05, 'epoch': 5.68}
{'loss': 0.0892, 'grad_norm': 0.32544711232185364, 'learning_rate': 1.65171946970729e-05, 'epoch': 5.72}
{'loss': 0.0847, 'grad_norm': 0.36880728602409363, 'learning_rate': 1.534809972415998e-05, 'epoch': 5.77}
{'loss': 0.0817, 'grad_norm': 0.35287514328956604, 'learning_rate': 1.4218468069322578e-05, 'epoch': 5.82}
{'loss': 0.086, 'grad_norm': 0.3432283401489258, 'learning_rate': 1.3128826348184887e-05, 'epoch': 5.86}
{'loss': 0.0897, 'grad_norm': 0.33283501863479614, 'learning_rate': 1.2079682533724379e-05, 'epoch': 5.91}
{'loss': 0.0891, 'grad_norm': 0.29417699575424194, 'learning_rate': 1.1071525719463095e-05, 'epoch': 5.96}
{'loss': 0.089, 'grad_norm': 0.36544111371040344, 'learning_rate': 1.010482589146048e-05, 'epoch': 6.0}
{'loss': 0.0683, 'grad_norm': 0.2915826439857483, 'learning_rate': 9.180033709213454e-06, 'epoch': 6.05}
{'loss': 0.0682, 'grad_norm': 0.36286431550979614, 'learning_rate': 8.297580295566575e-06, 'epoch': 6.09}
{'loss': 0.0662, 'grad_norm': 0.3702775537967682, 'learning_rate': 7.457877035729588e-06, 'epoch': 6.14}
{'loss': 0.0714, 'grad_norm': 0.3136167824268341, 'learning_rate': 6.661315385496425e-06, 'epoch': 6.19}
{'loss': 0.0645, 'grad_norm': 0.3017757534980774, 'learning_rate': 5.908266688755049e-06, 'epoch': 6.23}
{'loss': 0.0687, 'grad_norm': 0.3524072766304016, 'learning_rate': 5.199082004372957e-06, 'epoch': 6.28}
{'loss': 0.0674, 'grad_norm': 0.3188968896865845, 'learning_rate': 4.534091942539475e-06, 'epoch': 6.33}
{'loss': 0.0686, 'grad_norm': 0.2693215012550354, 'learning_rate': 3.913606510640644e-06, 'epoch': 6.37}
{'loss': 0.0718, 'grad_norm': 0.37622952461242676, 'learning_rate': 3.3379149687388867e-06, 'epoch': 6.42}
{'loss': 0.0658, 'grad_norm': 0.3377784788608551, 'learning_rate': 2.8072856947248037e-06, 'epoch': 6.47}
{'loss': 0.0742, 'grad_norm': 0.3472926914691925, 'learning_rate': 2.3219660592038285e-06, 'epoch': 6.51}
{'loss': 0.0712, 'grad_norm': 0.31648048758506775, 'learning_rate': 1.882182310176095e-06, 'epoch': 6.56}
{'loss': 0.0737, 'grad_norm': 0.3383297026157379, 'learning_rate': 1.488139467563354e-06, 'epoch': 6.61}
{'loss': 0.0708, 'grad_norm': 0.3313519060611725, 'learning_rate': 1.1400212276321376e-06, 'epoch': 6.65}
{'loss': 0.0675, 'grad_norm': 0.32393479347229004, 'learning_rate': 8.379898773574924e-07, 'epoch': 6.7}
{'loss': 0.0719, 'grad_norm': 0.314100056886673, 'learning_rate': 5.821862187675775e-07, 'epoch': 6.75}
{'loss': 0.0695, 'grad_norm': 0.3641549050807953, 'learning_rate': 3.727295033040035e-07, 'epoch': 6.79}
{'loss': 0.0699, 'grad_norm': 0.3476616442203522, 'learning_rate': 2.0971737622883515e-07, 'epoch': 6.84}
{'loss': 0.0681, 'grad_norm': 0.435297429561615, 'learning_rate': 9.32258311039269e-08, 'epoch': 6.89}
{'loss': 0.0749, 'grad_norm': 0.3241594433784485, 'learning_rate': 2.3309174364027907e-08, 'epoch': 6.93}
{'loss': 0.0718, 'grad_norm': 0.3755193054676056, 'learning_rate': 0.0, 'epoch': 6.98}
{'train_runtime': 83684.6819, 'train_samples_per_second': 0.287, 'train_steps_per_second': 0.018, 'train_loss': 0.18789207498232524, 'epoch': 6.98}
`low_cpu_mem_usage` was None, now default to True since model is quantized.

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:07<00:21,  7.32s/it]
Loading checkpoint shards:  50%|█████     | 2/4 [00:14<00:14,  7.05s/it]
Loading checkpoint shards:  75%|███████▌  | 3/4 [00:21<00:06,  6.99s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [00:27<00:00,  6.68s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [00:27<00:00,  6.83s/it]
max_steps is given, it will override any value given in num_train_epochs

  0%|          | 0/1500 [00:00<?, ?it/s]
  0%|          | 1/1500 [00:52<21:43:54, 52.19s/it]
  0%|          | 2/1500 [01:49<22:59:27, 55.25s/it]
  0%|          | 3/1500 [02:43<22:40:49, 54.54s/it]
  0%|          | 4/1500 [03:37<22:32:35, 54.25s/it]
  0%|          | 5/1500 [04:30<22:27:31, 54.08s/it]
  0%|          | 6/1500 [05:20<21:49:49, 52.60s/it]
  0%|          | 7/1500 [06:12<21:46:26, 52.50s/it]
  1%|          | 8/1500 [07:04<21:37:27, 52.18s/it]
  1%|          | 9/1500 [07:55<21:28:36, 51.86s/it]
  1%|          | 10/1500 [08:54<22:22:25, 54.06s/it]
                                                    

  1%|          | 10/1500 [08:54<22:22:25, 54.06s/it]
  1%|          | 11/1500 [09:50<22:39:47, 54.79s/it]
  1%|          | 12/1500 [10:45<22:33:18, 54.57s/it]
  1%|          | 13/1500 [11:43<23:03:26, 55.82s/it]
  1%|          | 14/1500 [12:39<23:00:33, 55.74s/it]
  1%|          | 15/1500 [13:37<23:20:47, 56.60s/it]
  1%|          | 16/1500 [14:36<23:32:20, 57.10s/it]
  1%|          | 17/1500 [15:27<22:50:50, 55.46s/it]
  1%|          | 18/1500 [16:21<22:39:36, 55.04s/it]
  1%|▏         | 19/1500 [17:20<23:05:09, 56.12s/it]
  1%|▏         | 20/1500 [18:19<23:25:12, 56.97s/it]
                                                    

  1%|▏         | 20/1500 [18:19<23:25:12, 56.97s/it]
  1%|▏         | 21/1500 [19:16<23:25:10, 57.01s/it]
  1%|▏         | 22/1500 [20:19<24:11:34, 58.93s/it]
  2%|▏         | 23/1500 [21:15<23:46:28, 57.95s/it]
  2%|▏         | 24/1500 [22:12<23:35:08, 57.53s/it]
  2%|▏         | 25/1500 [23:11<23:47:19, 58.06s/it]
  2%|▏         | 26/1500 [24:02<22:52:51, 55.88s/it]
  2%|▏         | 27/1500 [25:02<23:21:35, 57.09s/it]
  2%|▏         | 28/1500 [25:56<23:03:13, 56.38s/it]
  2%|▏         | 29/1500 [26:58<23:39:41, 57.91s/it]
  2%|▏         | 30/1500 [27:53<23:18:28, 57.08s/it]
                                                    

  2%|▏         | 30/1500 [27:53<23:18:28, 57.08s/it]
  2%|▏         | 31/1500 [28:52<23:33:28, 57.73s/it]
  2%|▏         | 32/1500 [29:46<23:01:56, 56.48s/it]
  2%|▏         | 33/1500 [30:44<23:10:00, 56.85s/it]
  2%|▏         | 34/1500 [31:38<22:53:17, 56.21s/it]
  2%|▏         | 35/1500 [32:32<22:32:13, 55.38s/it]
  2%|▏         | 36/1500 [33:30<22:54:48, 56.34s/it]
  2%|▏         | 37/1500 [34:25<22:40:42, 55.80s/it]
  3%|▎         | 38/1500 [35:23<22:54:01, 56.39s/it]
  3%|▎         | 39/1500 [36:23<23:22:14, 57.59s/it]
